year, emmissions 
1975,"4,428"
1976,"4,695"
1977,"4,835"
1978,"4,884"
1979,"4,950"
1980,"4,756"
1981,"4,637"
1982,"4,404"
1983,"4,384"
1984,"4,613"
1985,"4,605"
1986,"4,616"
1987,"4,776"
1988,"4,998"
1989,"5,085"
1990,"5,038"
1991,"4,993"
1992,"5,094"
1993,"5,186"
1994,"5,263"
1995,"5,324"
1996,"5,518"
1997,"5,589"
1998,"5,637"
1999,"5,700"
2000,"5,889"
2001,"5,778"
2002,"5,820"
2003,"5,886"
2004,"5,994"
2005,"6,007"
2006,"5,929"
2007,"6,016"
2008,"5,823"
2009,"5,404"
2010,"5,594"
2011,"5,455"
2012,"5,236"
2013,"5,359"
2014,"5,414"
2015,"5,262"
2016,"5,169"
2017,"5,131"
2018,"5,277"
2019,"5,144"
2020,"4,576"
