year,value
1900-04-28,1.12598425
1901-04-28,1.11023622
1902-04-28,1.29133858
1903-04-28,1.60629921
1904-04-28,1.2007874
1905-04-28,0.98425197
1906-04-28,1.2519685
1907-04-28,1.19685039
1908-04-28,1.0984252
1909-04-28,1.27559055
1910-04-28,1.27165354
1911-04-28,1.5984252
1912-04-28,1.47637795
1913-04-28,1.54724409
1914-04-28,1.79527559
1915-04-28,2.10629921
1916-04-28,2.03149606
1917-04-28,1.85433071
1918-04-28,1.79133858
1919-04-28,1.85433071
1920-04-28,1.90551181
1921-04-28,1.98818897
1922-04-28,1.9527559
1923-04-28,2
1924-04-28,1.71259842
1925-04-28,1.79133858
1926-04-28,2.04724409
1927-04-28,2.00393701
1928-04-28,1.8503937
1929-04-28,1.90551181
1930-04-28,2.06299212
1931-04-28,2.04724409
1932-04-28,2.27165354
1933-04-28,2.44094488
1934-04-28,2.22834645
1935-04-28,2.4488189
1936-04-28,2.29527559
1937-04-28,2.51968504
1938-04-28,2.62204724
1939-04-28,2.82677165
1940-04-28,2.61811023
1941-04-28,3.09842519
1942-04-28,3.09842519
1943-04-28,3.09842519
1944-04-28,2.84645669
1945-04-28,2.95669291
1946-04-28,3.2519685
1947-04-28,3.37401575
1948-04-28,3.56299212
1949-04-28,3.51181102
1950-04-28,3.59842519
1951-04-28,3.97244094
1952-04-28,3.87007874
1953-04-28,4.04330708
1954-04-28,3.92913385
1955-04-28,3.96456693
1956-04-28,3.76377952
1957-04-28,4.29133858
1958-04-28,4.34645669
1959-04-28,4.35826771
1960-04-28,4.503937
1961-04-28,4.74803149
1962-04-28,4.54330708
1963-04-28,4.48031496
1964-04-28,4.16929133
1965-04-28,4.61023622
1966-04-28,4.39763779
1967-04-28,4.4527559
1968-04-28,4.48425196
1969-04-28,4.7519685
1970-04-28,4.67716535
1971-04-28,4.88188976
1972-04-28,5.24015748
1973-04-28,5.003937
1974-04-28,5.4724409
1975-04-28,5.40944881
1976-04-28,5.37007874
1977-04-28,5.3031496
1978-04-28,5.55511811
1979-04-28,5.36220472
1980-04-28,5.59842519
1981-04-28,6.08661417
1982-04-28,5.85826771
1983-04-28,6.18897637
1984-04-28,6.1535433
1985-04-28,5.74803149
1986-04-28,5.77165354
1987-04-28,5.79527559
1988-04-28,5.98031496
1989-04-28,6.15748031
1990-04-28,6.24803149
1991-04-28,6.34645669
1992-04-28,6.37401574
1993-04-28,6.3031496
1994-04-28,6.50787401
1995-04-28,6.62204724
1996-04-28,6.78346456
1997-04-28,7.05905511
1998-04-28,6.66929133
1999-04-28,7.003937
2000-04-28,7.0551181
2001-04-28,7.27165354
2002-04-28,7.36614173
2003-04-28,7.72834645
2004-04-28,7.71259842
2005-04-28,7.71653543
2006-04-28,7.88582676
2007-04-28,7.96062991
2008-04-28,8.3031496
2009-04-28,8.53149605
2010-04-28,8.83464566
2011-04-28,8.89763779
2012-04-28,9.24409448
2013-04-28,8.91338582
2014-04-28,8.57943749
2015-04-28,8.92543486
2016-04-28,9.0362373
2017-04-28,9.08768607
2018-04-28,9.22119985
2019-04-28,9.47933086

